0,0.000080011 0.000084080 0.000089866 
1,0.000000543 0.000000622 0.000000677 
2,0.000152004 0.000160782 0.000170653 
3,0.000281377 0.000287650 0.000303016 
4,0.000099577 0.000100997 0.000104711 
5,0.000215096 0.000218892 0.000227182 
6,0.000160491 0.000164865 0.000172057 
7,0.000155779 0.000158751 0.000166739 
8,0.000428453 0.000520661 0.000594741 
9,0.000388668 0.000442996 0.000502886 
10,0.000000602 0.000000847 0.000001028 
11,0.000200971 0.000213195 0.000227274 
12,0.000095213 0.000100204 0.000105734 
13,0.000002384 0.000003152 0.000003499 
14,0.000000452 0.000000471 0.000000585 
15,0.000000443 0.000000451 0.000000515 
16,0.000000455 0.000000474 0.000000552 
17,0.000179187 0.000182804 0.000189593 
18,0.000000594 0.000000625 0.000000769 
19,0.000047835 0.000049074 0.000052160 
20,0.000187917 0.000250416 0.000284059 
21,0.000196415 0.000201772 0.000210342 
22,0.001235008 0.001280322 0.001338403 
23,0.000000814 0.000000995 0.000001068 
24,0.001928983 0.002420053 0.002760723 
25,0.000000805 0.000000861 0.000000972 
26,0.000249689 0.000267720 0.000287962 
27,0.000088851 0.000094541 0.000103069 
28,0.001867814 0.002275725 0.002592542 
29,0.000296563 0.000299594 0.000310434 
30,0.000000751 0.000000712 0.000000847 
31,0.000502184 0.000579574 0.000650694 
32,0.000260255 0.000271635 0.000289824 
33,0.000124620 0.000143035 0.000161564 
34,0.000131545 0.000137115 0.000145858 
35,0.000000573 0.000000573 0.000000711 
36,0.000000461 0.000000493 0.000000580 
37,0.000000442 0.000000462 0.000000509 
38,0.000000437 0.000000427 0.000000533 
39,0.000000441 0.000000462 0.000000510 
40,0.000000451 0.000000470 0.000000545 
41,0.000405370 0.000399961 0.000406902 
42,0.000000719 0.000000691 0.000000854 
43,0.000000498 0.000000521 0.000000596 
44,0.000216728 0.000224072 0.000236682 
45,0.000022576 0.000023088 0.000025634 
46,0.000644147 0.000773503 0.000880855 
47,0.000063939 0.000065789 0.000067925 
48,0.003462045 0.004480375 0.005153873 
49,0.000635931 0.000664737 0.000706879 
